@relation train-weka.filters.unsupervised.attribute.OrdinalToNumeric-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R6

@attribute pclass numeric
@attribute sex numeric
@attribute age numeric
@attribute sibsp numeric
@attribute fare numeric
@attribute survived {0,1}

@data
0.5,0,0.403116,0,0.025374,1
0,1,0.673285,0,0.150855,0
1,1,0.145514,0.125,0.021942,1
1,1,0.371701,0,0.015127,0
1,1,0.296306,0,0.01394,1
1,0,0.371701,0.125,0.04364,1
1,1,0.560191,0,0.013614,0
1,1,0.409399,0,0.015412,0
1,1,0.246042,0,0.013761,0
1,0,0.585323,0.125,0.028302,0
0.5,0,0.359135,0.125,0.050749,1
0.5,1,0.308872,0,0.025374,0
0.5,1,0.28374,0,0.029367,0
0,0,0.233476,0,0.051302,1
0,1,0.459663,0.125,0.103644,0
1,1,0.195778,0,0.01799,0
0,1,0.296306,0,0.154588,0
1,0,0.371701,0,0.029758,0
1,0,0.271174,0,0.015127,1
1,0,0.296306,0.125,0.030937,1
1,1,0.233476,0,0.013175,0
0.5,1,0.22091,0,0.022447,0
0.5,1,0.233476,0.125,0.071731,0
1,1,0.334004,0,0.015216,1
1,0,0.107816,0.25,0.067096,0
0.5,1,0.45338,0,0.050749,0
0.5,1,0.522493,0,0.025374,0
0.5,1,0.635587,0,0.024447,0
0,0,0.271174,0.125,0.129995,1
1,1,0.692134,0,0.015713,0
1,1,0.503644,0,0.028302,0
1,1,0.371701,0,0.014273,0
0,1,0.635587,0,0.119804,0
1,0,0.195778,0,0.015094,1
1,1,0.371701,0,0.015713,0
1,1,0.371701,0,0.016908,0
1,1,0.371701,1,0.135753,0
1,1,0.547625,0,0.031425,0
0.5,0,0.497361,0,0.030742,1
1,1,0.321438,0,0.015176,0
1,1,0.208344,0,0.016908,0
1,1,0.007288,0.5,0.077465,0
1,1,0.107816,0,0.040062,1
0,0,0.371701,0,0.107353,1
1,0,0.560191,0.125,0.054457,0
0,1,0.371701,0,0.050602,0
1,1,0.346569,0,0.110272,0
0,1,0.761247,0,0.065388,0
1,1,0.044986,0.5,0.056848,0
1,0,0.007288,0.125,0.021731,1
1,1,0.258608,0,0.015469,0
0,1,0.698417,0,0.059914,0
1,1,0.22091,0.125,0.01533,0
1,1,0.371701,0.375,0.049708,0
0,0,0.623021,0,0.056043,0
0.5,1,0.371701,0,0.025374,0
1,1,0.447097,0,0,0
1,0,0.371701,1,0.135753,0
0.5,1,0.371701,0,0.029376,0
1,1,0.107816,0.5,0.061264,0
0.5,1,0.007288,0.25,0.076123,1
1,0,0.044986,0,0.04299,1
0,1,0.371701,0,0.097594,0
1,0,0.371701,0.125,0.030254,1
0,1,0.560191,0,0.051822,1
1,1,0.497361,0.125,0.030254,0
1,1,0.447097,0,0.015412,0
0.5,0,0.396833,0,0.025374,1
0.5,1,0.233476,0,0.025374,0
1,0,0.233476,0.125,0.01533,1
0.5,1,0.03242,0.125,0.050749,1
0,0,0.547625,0,0.054107,1
0,0,0.723549,0,0.28599,1
1,1,0.371701,0,0.015127,0
1,1,0.522493,0,0.016404,0
1,0,0.371701,0,0.015127,1
0.5,0,0.296306,0,0.025374,0
1,1,0.346569,0,0.018543,0
1,1,0.371701,1,0.135753,0
1,1,0.421965,0,0.012679,0
1,1,0.566474,0,0.014102,0
1,1,0.22091,0,0.015713,1
1,0,0.019854,0,0.020421,0
1,1,0.396833,0.125,0.030937,0
1,1,0.321438,0,0.036671,1
1,0,0.195778,0,0.015127,1
0,1,0.497361,0,0.060508,1
1,1,0.296306,0,0.013761,0
0.5,0,0.434531,0,0.040989,1
1,1,0.271174,0,0.014151,0
0.5,1,0.371701,0,0.025374,0
1,1,0.371701,0.125,0.015127,0
0,0,0.384267,0.125,0.221098,1
1,0,0.334004,0,0.015469,1
0.5,1,0.522493,0.125,0.0527,0
0,0,0.396833,0,0.148911,1
0.5,1,0.371701,0,0.020495,0
1,1,0.195778,0,0.015713,1
0.5,1,0.334004,0,0.025374,0
1,1,0.635587,0,0.015713,0
1,1,0.371701,0,0.015412,0
0,1,0.472229,0.125,0.175668,1
1,1,0.271174,0,0.01825,0
0.5,1,0.233476,0,0.020495,1
1,1,0.252325,0,0.014151,0
0.5,1,0.22091,0,0.025374,0
1,0,0.371701,0.375,0.049708,0
0,0,0.434531,0.125,0.162932,1
1,1,0.359135,0,0.015176,0
0.5,1,0.736115,0,0.02635,0
1,0,0.057552,0.5,0.061264,1
0.5,1,0.296306,0,0.020495,0
1,0,0.371701,0,0.014737,0
0.5,1,0.547625,0.125,0.050749,0
0.5,0,0.09525,0,0.051237,1
0.5,1,0.233476,0,0.020495,0
0.5,1,0.409399,0,0.023959,0
1,0,0.371701,0.125,0.028213,0
1,0,0.371701,0.125,0.030254,1
0.5,1,0.359135,0,0.020495,0
1,1,0.271174,0,0.013907,0
1,1,0.371701,0,0.014102,0
0,1,0.547625,0.25,0.175668,0
1,0,0.308872,0,0.015176,0
0.5,0,0.296306,0,0.028302,1
0,1,0.459663,0.125,0.102579,1
0.5,1,0.673285,0.125,0.050749,0
1,1,0.371701,0,0.014151,0
1,0,0.359135,0.125,0.020421,0
0,1,0.773813,0,0.051822,0
1,1,0.371701,0.125,0.031425,0
1,0,0.509927,0,0.039452,0
1,0,0.359135,0,0.029758,1
0,0,0.371701,0,0.154588,1
0,0,0.371701,0,0.168837,1
0,0,0.434531,0,1,1
0.5,0,0.623021,0,0.050749,1
1,1,0.371701,0,0.015127,0
1,1,0.03242,0.5,0.061264,1
0,1,0.648153,0.125,0.155466,0
0,1,0.497361,0,0,0
1,0,0.371701,0,0.015127,0
0.5,1,0.447097,0,0.020495,0
1,1,0.195778,0.5,0.077465,0
1,1,0.308872,0.125,0.015176,1
0,0,0.723549,0,0.299539,1
0,0,0.434531,0,0.264739,1
0,1,0.371701,0,0.060508,0
1,1,0.308872,0,0,1
0.5,0,0.509927,0,0.038061,1
0,1,0.459663,0,0.057971,0
1,0,0.371701,0,0.015127,1
0,0,0.786378,0.125,0.152164,1
1,0,0.560191,0,0.015127,0
0.5,1,0.371701,0,0,0
1,1,0.082684,0.5,0.056848,0
1,0,0.434531,0.125,0.039525,1
1,1,0.81151,0,0.015127,0
1,1,0.346569,0,0.01533,0
1,1,0.195778,0,0.018543,0
1,1,0.233476,0,0.015713,1
0,1,0.371701,0,0.050749,0
1,1,0.409399,0,0.016908,0
1,1,0.371701,0,0.018543,1
1,1,0.271174,0,0.015412,0
0.5,1,0.522493,0,0.025374,1
1,0,0.271174,0,0.015127,1
0,0,0.321438,0,0.153905,1
0,0,0.233476,0.125,0.177775,1
0.5,1,0.447097,0,0.02513,0
1,0,0.296306,0,0.017274,0
1,1,0.296306,0,0.015412,0
0,1,0.371701,0,0.054107,0
1,1,0.290023,0,0.01411,0
0,0,0.019854,0.125,0.295806,0
0,1,0.371701,0,0.059532,1
0,0,0.623021,0,0.483128,1
1,0,0.371701,0,0.015127,1
1,1,0.371701,0.25,0.045381,1
1,1,0.233476,0,0,0
0.5,0,0.371701,0,0.024106,1
1,1,0.371701,0,0.015713,0
0,1,0.006283,0.125,0.295806,1
0,0,0.371701,0,0.21643,1
0,0,0.208344,0.125,0.212559,1
0.5,1,0.371701,0.125,0.046845,0
0,0,0.371701,0,0.111118,1
0,0,0.296306,0,0.162314,1
0,0,0.22091,0.25,0.512122,1
0.5,0,0.321438,0.125,0.050749,0
1,1,0.346569,0,0.015412,0
0.5,1,0.535059,0.125,0.051237,0
1,0,0.321438,0,0.01533,1
0.5,0,0.296306,0.125,0.050749,1
0.5,1,0.673285,0,0.027326,0
0,0,0.384267,0,0.321798,1
0,0,0.497361,0.125,0.262527,1
1,1,0.271174,0,0.014151,0
1,1,0.334004,0,0.015412,0
0.5,0,0.371701,0,0.024106,1
0.5,0,0.271174,0.125,0.056604,1
1,1,0.371701,1,0.135753,0
0,0,0.447097,0,0.264739,1
1,1,0.761247,0,0.012175,0
0.5,0,0.447097,0,0.025374,1
1,0,0.384267,0.125,0.040062,1
0,0,0.195778,0,0.113168,1
1,0,0.371701,0.25,0.045381,1
0,1,0.566474,0,0.055628,0
0,1,0.472229,0,0.299539,0
1,1,0.195778,0.25,0.035134,0
0,0,0.371701,0.125,0.260867,1
1,1,0.371701,0,0.015412,0
0,1,0.359135,0.125,0.129995,0
0,0,0.509927,0,0.262527,1
1,1,0.560191,0,0.015713,1
0,1,0.560191,0,0.069291,0
0.5,1,0.019854,0.125,0.050749,1
0,0,0.296306,0.375,0.513342,1
0.5,1,0.346569,0,0.025374,0
0.5,1,0.308872,0,0.025374,0
0.5,1,0.447097,0,0.025374,0
0.5,0,0.296306,0,0.025374,1
0.5,0,0.497361,0,0.025374,1
1,0,0.371701,0.125,0.031425,1
1,1,0.03242,0.125,0.031035,1
1,1,0.522493,0,0.016908,0
1,1,0.28374,0,0.018006,0
0,1,0.371701,0,0.068315,0
1,1,0.183212,0.125,0.01411,0
1,1,0.308872,0.125,0.034743,0
1,1,0.371701,0,0.014102,0
1,1,0.346569,0,0.018543,0
0,0,0.271174,0,0.107353,1
0.5,0,0.472229,0,0.025374,0
1,0,0.371701,0,0.015379,1
1,0,0.371701,0,0.015379,1
1,1,0.497361,0.125,0.054457,0
0.5,1,0.359135,0.125,0.054107,0
1,0,0.560191,0,0.028213,0
1,1,0.434531,0,0.013761,0
1,1,0.371701,0.125,0.030254,0
1,1,0.371701,0,0.014151,0
0,0,0.748681,0.125,0.146878,1
1,0,0.371701,0,0.01411,1
1,0,0.371701,0,0.015127,1
0,0,0.296306,0,0.135265,1
0,1,0.308872,0.125,0.108215,1
1,1,0.22091,0.125,0.012679,0
1,1,0.233476,0,0.015713,0
0,1,0.271174,0,0.264739,0
1,0,0.03242,0.375,0.041136,0
0,0,0.371701,0.125,0.160387,1
1,0,0.271174,0,0.014151,1
0,1,0.334004,0,0.412821,0
1,1,0.246042,0,0.007832,0
1,1,0.233476,0,0.015176,0
0,0,0.522493,0,0.444099,1
1,0,0.007288,0,0.030726,1
1,1,0.396833,0,0.015469,0
0,0,0.434531,0.125,0.101497,1
1,1,0.371701,0,0.015412,0
0.5,1,0.22091,0,0.143462,0
1,1,0.007288,0.625,0.091543,0
0.5,0,0.447097,0,0.025374,1
1,1,0.371701,0,0.015086,0
0.5,0,0.208344,0,0.023422,1
0,1,0.447097,0.125,0.234224,1
1,1,0.258608,0,0.015216,1
1,1,0.346569,0.25,0.015469,0
0,0,0.28374,0.125,0.221098,1
1,0,0.296306,0,0.032596,1
1,1,0.271174,0,0.015216,0
1,0,0.384267,0,0.01533,0
0.5,1,0.572757,0,0.050749,0
0.5,1,0.28374,0,0.020495,0
0.5,0,0.346569,0,0.024691,1
1,1,0.484795,0,0.015469,1
1,1,0.321438,0,0.015713,0
1,0,0.258608,0.125,0.019177,0
1,1,0.346569,0.125,0.030937,0
1,0,0.246042,0,0.016908,0
0.5,1,0.421965,0.125,0.040989,0
1,1,0.635587,0,0.015127,0
0.5,1,0.03242,0.125,0.036598,1
1,1,0.258608,0,0.015176,0
1,0,0.371701,0.375,0.049708,0
1,1,0.371701,0,0.015412,0
1,1,0.371701,0,0.013387,0
0,0,0.409399,0.125,0.175668,1
0.5,1,0.371701,0,0,0
1,1,0.547625,0,0.015469,1
1,0,0.371701,0,0.015713,0
0.5,0,0.421965,0.125,0.063436,1
0.5,0,0.22091,0,0.025374,1
0.5,1,0.371701,0,0.025374,0
1,0,0.120382,0,0.047138,0
1,1,0.371701,0,0.015412,0
1,1,0.258608,0,0.015094,0
1,1,0.359135,0,0.015371,0
1,0,0.346569,0.125,0.028107,0
1,1,0.22091,0.125,0.039452,0
1,1,0.371701,0,0.014151,0
0.5,0,0.346569,0.125,0.050749,1
0.5,0,0.233476,0,0.050749,1
1,1,0.371701,0,0.015127,0
1,1,0.396833,0,0.015713,1
0,1,0.346569,0,0.051822,1
1,0,0.371701,0.125,0.031425,1
0.5,0,0.522493,0.125,0.050749,1
1,1,0.208344,0,0.013907,0
0,1,0.623021,0.125,0.10911,0
0,0,0.170646,0.125,0.234224,1
1,0,0.258608,0.25,0.067096,0
0.5,0,0.296306,0.25,0.036598,1
0,1,0.798944,0.125,0.513342,0
0.5,1,0.384267,0,0.020495,0
0.5,0,0.560191,0.125,0.051237,1
1,1,0.246042,0,0.018543,0
1,1,0.308872,0.125,0.015176,0
0.5,0,0.346569,0,0.025374,1
1,1,0.371701,0,0.015835,1
0,1,0.044986,0,0.159777,1
0.5,0,0.15808,0,0.038061,1
0,1,0.421965,0,0.051822,1
1,0,0.057552,0.25,0.03759,1
0,1,0.648153,0,0.059532,1
0.5,1,0.447097,0.125,0.054164,0
1,1,0.371701,0.125,0.038972,0
0,1,0.371701,0,0.054164,0
0,1,0.610455,0.125,0.17392,1
1,1,0.371701,0,0.015713,0
1,1,0.359135,0,0.015412,1
0,1,0.81151,0,0.051822,0
0,0,0.371701,0.125,0.101229,1
0.5,0,0.623021,0,0.020495,1
1,1,0.371701,0,0.015127,0
0,1,0.597889,0,0.051822,1
1,1,0.421965,0,0.015713,0
0,1,0.585323,0,0.075147,0
0.5,1,0.597889,0,0.025374,0
1,1,0.371701,0,0.015713,0
1,1,0.472229,0,0.013761,0
0.5,1,0.371701,0,0,0
0,1,0.698417,0,0.051822,0
1,1,0.371701,0,0.015078,0
1,0,0.004147,0.25,0.03759,1
1,1,0.371701,0,0.014151,0
1,1,0.472229,0,0.016908,0
0.5,0,0.409399,0.125,0.054164,1
0.5,0,0.28374,0,0.02692,1
1,0,0.271174,0,0.019202,0
0,1,0.371701,0,0.101497,0
0.5,1,0.421965,0.125,0.040989,0
1,1,0.359135,0.125,0.013752,0
1,1,0.271174,0,0.01468,0
1,0,0.019854,0,0.023984,1
1,1,0.107816,0.625,0.091543,0
0.5,1,0.371701,0,0,0
1,1,0.623021,0,0.015713,0
1,0,0.786378,0,0.018714,1
0,1,0.308872,0.125,0.177775,1
1,0,0.371701,0.375,0.049708,0
0,0,0.434531,0.125,0.175668,1
0,1,0.723549,0,0.057971,0
1,1,0.371701,0,0.015713,0
1,1,0.107816,0.125,0.031035,1
1,1,0.371701,0.125,0.038972,0
1,1,0.258608,0,0.014151,0
0,1,0.685851,0,0.059532,0
0,1,0.886906,0,0.096626,0
1,1,0.258608,0,0.015713,0
1,1,0.371701,0,0.028221,0
0,0,0.673285,0.125,0.152766,1
1,1,0.371701,0,0.029473,0
0,0,0.308872,0.125,0.295806,0
1,1,0.296306,0,0.015216,0
1,1,0.208344,0,0.016908,0
1,0,0.258608,0,0.015127,0
1,0,0.371701,0,0.014891,0
1,0,0.459663,0,0.018714,0
0,0,0.195778,0,0.168837,1
0,1,0.22091,0.125,0.212559,0
0.5,0,0.409399,0,0.050749,1
0,1,0.371701,0,0.051822,1
1,1,0.346569,0,0.043966,0
1,1,0.321438,0,0.110272,1
1,1,0.359135,0,0.015127,1
1,1,0.371701,0,0.015713,0
0,1,0.447097,0,0.05131,1
0,0,0.673285,0.125,0.115941,1
1,1,0.296306,0,0.014631,0
0,1,0.585323,0,0.066404,0
0.5,0,0.421965,0,0.020495,1
1,1,0.371701,0,0.047138,0
0.5,0,0.447097,0.125,0.050749,1
1,1,0.396833,0,0.015412,0
0,0,0.371701,0,0.1825,1
1,1,0.271174,0,0.015412,0
1,1,0.371701,0,0.014102,0
0,0,0.547625,0,0.113168,1
1,1,0.371701,0,0.01411,0
1,1,0.503644,0,0.015127,0
0.5,0,0.623021,0,0.020495,1
0,1,0.371701,0,0.432884,0
1,1,0.484795,0,0.015469,0
0.5,1,0.28374,0.25,0.022447,0
0.5,0,0.019854,0.125,0.050749,1
1,1,0.371701,0,0.01411,0
1,1,0.208344,0.125,0.01411,0
1,0,0.371701,0,0.04364,1
1,0,0.371701,0,0.016908,0
0.5,0,0.082684,0,0.051237,1
0,1,0.560191,0,0.051822,0
0,0,0.371701,0,0.207728,1
1,1,0.371701,0,0.028302,0
0,0,0.271174,0,0.096618,1
0,0,0.447097,0,0.138583,1
1,0,0.107816,0.5,0.061045,0
1,0,0.132948,0.5,0.061045,0
0.5,1,0.396833,0.125,0.050749,1
0,1,0.623021,0.125,0.207728,0
0,1,0.798944,0,0.050749,0
0.5,0,0.233476,0.125,0.050749,1
0.5,1,0.371701,0,0.027058,1
1,1,0.409399,0.125,0.040062,0
0.5,1,0.09525,0.125,0.071731,1
0,1,0.208344,0,0.21643,1
0.5,1,0.334004,0,0.050749,0
1,1,0.371701,0,0.015282,0
1,1,0.271174,0,0.014102,1
1,0,0.271174,0,0.015176,1
0,1,0.773813,0,0.051822,0
0,0,0.597889,0.125,0.077294,1
0,1,0.371701,0,0.444099,0
0,0,0.484795,0.125,0.155466,1
1,0,0.447097,0.125,0.033963,1
1,1,0.371701,0,0.015127,0
1,1,0.497361,0,0.015412,0
0.5,1,0.346569,0,0.02635,0
1,1,0.371701,0,0.015713,0
1,0,0.371701,0,0.015713,0
1,1,0.296306,0.25,0.047138,0
1,1,0.233476,0,0.015412,0
1,0,0.359135,0,0.041136,0
1,1,0.371701,0,0.01411,0
1,1,0.396833,0,0.01533,1
0.5,1,0.773813,0,0.020495,1
0,0,0.660719,0.25,0.100481,1
0,1,0.447097,0,0.051505,1
1,0,0.371701,0,0.015127,1
1,1,0.195778,0,0.015713,0
1,1,0.233476,0,0.028302,0
0.5,0,0.421965,0,0.025374,1
0,0,0.484795,0.125,0.10911,1
1,0,0.371701,0.125,0.028221,0
1,1,0.396833,0,0.015469,1
0.5,0,0.308872,0.125,0.058556,1
0,0,0.484795,0.125,0.21643,1
0.5,1,0.673285,0,0.050749,0
0,1,0.447097,0,0.078319,0
1,1,0.371701,0,0.017006,0
0,0,0.22091,0,0.155466,1
0.5,1,0.585323,0,0.029278,0
0,1,0.748681,0.125,0.154588,1
1,1,0.271174,0,0.015713,0
1,1,0.371701,0,0.015713,0
1,1,0.434531,0,0.013907,0
0,0,0.648153,0.125,0.152766,1
1,1,0.585323,0,0.014151,0
1,0,0.371701,0,0.015127,0
0.5,1,0.459663,0.125,0.050749,0
1,1,0.447097,0.125,0.047138,0
0.5,0,0.371701,0,0.064412,1
1,1,0.610455,0,0,0
1,1,0.371701,0,0.014102,0
0,1,0.610455,0.125,0.111118,1
0.5,0,0.296306,0.25,0.0527,1
1,1,0.371701,0,0.015412,0
0,1,0.371701,0,0.082759,0
1,1,0.547625,0,0.015713,0
0,1,0.434531,0,0.051822,1
1,1,0.447097,0.125,0.030352,0
1,1,0.371701,0,0.015412,0
0,1,0.334004,0,0.059532,1
0.5,0,0.271174,0.125,0.081157,1
0,0,0.497361,0,0.299539,1
1,0,0.484795,0.125,0.061045,0
1,1,0.371701,0,0.013761,0
1,0,0.371701,0.125,0.030254,1
1,1,0.371701,0,0.015127,0
1,1,0.434531,0,0.015713,0
0.5,0,0.296306,0.125,0.126872,1
1,1,0.421965,0.125,0.028107,0
1,0,0.321438,0.125,0.031425,0
0.5,0,0.044986,0.25,0.076123,1
0.5,1,0.321438,0,0.020495,0
1,1,0.334004,0.125,0.028213,0
0,1,0.522493,0.125,0.102579,1
1,1,0.246042,0.125,0.030726,1
1,1,0.258608,0,0.01533,0
1,1,0.258608,0,0.031425,0
0,1,0.761247,0,0.063086,0
0.5,1,0.710983,0,0.024106,0
0,0,0.258608,0,0.152164,1
1,1,0.321438,0,0.015412,0
1,1,0.371701,0,0.015094,0
0,1,1,0,0.058556,1
1,1,0.635587,0,0.013769,0
0,1,0.396833,0,0.059532,1
0,1,0.371701,0,0,0
1,0,0.107816,0.375,0.054457,0
0.5,0,0.346569,0,0.025374,1
1,1,0.396833,0,0.015469,0
0.5,1,0.384267,0.125,0.051237,0
1,0,0.509927,0,0.077465,0
1,1,0.371701,0.125,0.031425,0
1,1,0.246042,0,0.01533,0
0,0,0.296306,0,0.135265,1
1,0,0.019854,0.375,0.054457,0
1,1,0.371701,0,0.110272,1
1,0,0.004147,0.25,0.03759,1
0,1,0.597889,0.125,0.149765,1
1,1,0.233476,0,0.015412,0
0,1,0.698417,0,0.069291,1
1,1,0.371701,0,0.014737,0
1,0,0.28374,0,0.014737,1
1,1,0.371701,0,0.015412,0
0.5,0,0.22091,0,0.044893,1
1,1,0.258608,0,0.016461,0
1,0,0.371701,0,0.015282,1
1,0,0.22091,0,0.013175,0
0.5,1,0.296306,0.25,0.143462,0
1,1,0.371701,0,0.015412,0
1,0,0.396833,0.125,0.030254,0
0.5,1,0.28374,0,0.025374,0
0,1,0.723549,0,0.221098,0
0,1,0.623021,0.25,0.260867,1
1,1,0.497361,0,0.014102,0
0,1,0.585323,0,0.049943,0
1,1,0.447097,0,0.014631,0
1,1,0.246042,0.125,0.015469,1
0.5,1,0.396833,0.25,0.143462,0
0.5,1,0.308872,0,0.025374,0
1,1,0.371701,0,0.015176,0
1,1,0.535059,0,0.015713,0
0,0,0.371701,0.125,0.101497,1
0.5,0,0.497361,0.125,0.076123,1
0,1,0.384267,0.125,0.101497,0
0.5,1,0.87434,0,0.020495,0
0.5,1,0.384267,0,0.025374,1
0.5,1,0.371701,0,0,0
1,1,0.22091,0,0.015176,0
1,1,0.302589,0,0.015713,0
1,0,0.22091,0,0.01921,1
1,0,0.535059,0.125,0.091543,0
0,1,0.447097,0,1,1
1,0,0.371701,0,0.015883,0
0,1,0.334004,0,0.149765,1
1,1,0.246042,0,0.018006,0
1,1,0.170646,0.625,0.091543,0
0.5,1,0.748681,0.125,0.076123,0
0.5,1,0.308872,0.125,0.081157,0
1,1,0.170646,0.5,0.077465,0
1,1,0.233476,0,0.019852,0
1,1,0.22091,0,0.015216,0
0,0,0.183212,0,0.412503,1
0,1,0.384267,0.125,0.111257,1
1,0,0.044986,0,0.026188,1
1,1,0.371701,0,0.110272,1
1,1,0.308872,0,0.014102,0
0,1,0.748681,0,0.051822,0
0.5,1,0.648153,0,0.02635,0
1,1,0.547625,0,0.015713,0
1,0,0.371701,0,0.015094,1
0,1,0.610455,0.125,0.21643,0
1,1,0.522493,0,0.014932,0
0,0,0.22091,0.125,0.444099,1
0,1,0.434531,0,0.05131,1
1,0,0.22091,0,0.028213,0
1,1,0.308872,0,0.015111,0
1,1,0.321438,0.125,0.01533,0
0.5,1,0.484795,0,0.050749,0
0.5,0,0.560191,0,0.02635,1
0,1,0.522493,0,0.05131,1
0,0,0.271174,0,0.295806,1
1,1,0.371701,0.125,0.029758,1
0,0,0.296306,0,0.096626,1
0,1,0.371701,0,0.051822,0
0,1,0.597889,0.125,0.101497,1
1,1,0.359135,0,0.01851,0
0.5,1,0.648153,0,0.025374,0
1,1,0.233476,0,0.014932,0
0,0,0.472229,0,0.444099,1
